Age;Sexe;Situation_Pro;Duree_LM;Budget_LM;Type_Voyage;Dimache_Type;Pref_Destinations_TropicalesSoleil;Pref_Destinations_HistoireCulture ;Pref_Destinations_SportAventure;Pref_Destinations_CalmesIsoles;Pref_Destinations_VillesDynamiquesModernes;Pref_Destinations_ConfortLuxe;Budget_LM_ExperiencesUniques;Budget_LM_HebergementEconomiques_Activites;Pref_Destinations_GastronomieLocale;Budget_LM_Cout_ActivitesExcursions;Pref_Nature;Pref_ActivitesCulturelles;Pref_Bien-etre;Pref_VieNocturne;Accessoire_LM;Pref_Destinations_HiverVersChaudes;Pref_Destinations_Calmes;Pref_Destinations_Similaires;Pref_Activites_Similaires;Pref_Budget_Similaires;Destination_LM
18-24 ans;Femme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus;Netflix and chill;5;4;4;4;2;5;5;2;4;5;4;2;5;4; Une huile de massage parfumee et sensuelle;5;3;5;5;4;La Malaisie
18-24 ans;Homme;Etudiant;1 a 2 semaines;moins de 2000?;Sejour tout inclus;Faire une seance de sport;5;5;4;4;2;5;5;2;5;3;5;4;4;4;Une tenue speciale pour les soirees inoubliables;3;3;2;1;5;Les Maldives ou les Seychelles
25-34 ans;Femme;Etudiant;1 a 2 semaines;Entre 5000 ? et 10 000 ?;Sejour tout inclus, Voyage sur mesure;Netflix and chill;5;4;3;4;3;3;4;3;4;2;5;5;5;5;Une huile de massage parfumee et sensuelle;3;3;5;5;5;Le Mexique
25-34 ans;Homme;Etudiant;1 a 2 semaines;Plus de 10 000 ?;Sejour tout inclus;Faire une seance de sport;2;2;2;2;2;2;2;2;2;5;2;2;2;2;Une playlist privee pour des moments passionnes;2;2;4;2;2;L'Ile Maurice / Jamaique 
18-24 ans;Femme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Voyage en itinerance (road trip);Netflix and chill;2;3;3;3;4;4;3;4;4;3;3;3;3;3;Un coffret d'epices pour des surprises culinaires et autres;3;5;1;2;2;Le Bresil
25-34 ans;Femme;Employe;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus, Voyage en itinerance (road trip);Netflix and chill;5;5;3;3;3;3;4;2;2;2;4;2;5;5;Une tenue speciale pour les soirees inoubliables;5;2;4;4;5;Une grande ville (New York, Tokyo, Istanbul, Seoul,...)
18-24 ans;Femme;Etudiant;Moins d'une semaine;moins de 2000?;Sejour tout inclus, Voyage en itinerance (road trip), Voyage sur mesure;Faire une seance relaxation (massage, manicure, ...);4;4;5;2;5;4;4;4;2;3;3;2;4;5;Une tenue speciale pour les soirees inoubliables;3;1;3;2;3;Une ile paradisiaque peu importe laquelle 
18-24 ans;Femme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Voyage en itinerance (road trip);Netflix and chill;5;5;2;4;2;3;4;2;5;5;3;5;5;2;Une huile de massage parfumee et sensuelle;3;5;2;2;2;Bora bora
18-24 ans;Homme;Etudiant;2 a 3 semaines;Entre 5000 ? et 10 000 ?;Voyage sur mesure;Netflix and chill;5;3;2;4;2;3;5;3;5;4;4;4;4;3;Une tenue speciale pour les soirees inoubliables;2;1;5;5;4;Les Maldives ou les Seychelles
18-24 ans;Femme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Voyage sur mesure;Tester un nouvel hobbie;3;4;4;3;3;2;4;3;4;4;4;4;4;4;Une tenue speciale pour les soirees inoubliables;2;4;3;4;4;Une grande ville (New York, Tokyo, Istanbul, Seoul,...)
